cpc;description_en;common_name_en
P47173;Parts for the goods of subclasses 47140 to 47160;
P472;"Television and radio transmitters; television, video and digital cameras; telephone sets";
P4721;"Transmission apparatus for radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; television cameras, digital cameras and video camera recorders";
P47211;Transmission apparatus incorporating reception apparatus;
P47212;Transmission apparatus not incorporating reception apparatus;
P47213;Television cameras;
P47214;Video camera recorders;
P47215;Digital cameras;
P4722;"Telephone sets, including telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a local or wide area network)";
P47221;Line telephone sets with cordless handsets;
P47222;Telephones for cellular networks or for other wireless networks;
P47223;Other telephone sets and apparatus for transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a local or wide area network);
P473;"Radio broadcast and television receivers; apparatus for sound and video recording and reproducing; microphones, loudspeakers, amplifiers, etc.";
P4731;Radio broadcast and television receivers;
P47311;Radio broadcast receivers (except of a kind used in motor vehicles), whether or not combined with sound recording or reproducing apparatus or a clock;
P47312;Radio broadcast receivers not capable of operating without an external source of power, of a kind used in motor vehicles;
P47313;Television receivers, whether or not combined with radio-broadcast receivers or sound or video recording or reproducing apparatus;
P47314;Monitors and projectors, not incorporating television reception apparatus and not principally used in an automatic data processing system;
P47315;Monitors and projectors, principally used in an automatic data processing system;
P4732;Apparatus for sound and video recording and reproducing;
P47321;Sound recording or reproducing apparatus;
P47323;Video recording or reproducing apparatus;
P4733;"Microphones and stands therefor; loudspeakers; headphones, earphones and combined microphone/speaker sets; audio-frequency electric amplifiers; electric sound amplifier sets";
P47330;"Microphones and stands therefor; loudspeakers; headphones, earphones and combined microphone/speaker sets; audio-frequency electric amplifiers; electric sound amplifier sets";
P474;Parts for the goods of classes 4721 to 4733 and 4822;
P4740;Parts for the goods of classes 4721 to 4733 and 4822;
P47401;Parts for the goods of subclasses 47221 to 47223;
P47402;Parts for the goods of subclasses 47321, 47323 and 47330;
P47403;Parts for the goods of subclasses 47211 to 47213, 47311 to 47315 and 48220;
P475;Disks, tapes, solid-state non-volatile storage devices and other media, not recorded;
P4753;Magnetic media, not recorded, except cards with a magnetic stripe;
P47530;Magnetic media, not recorded, except cards with a magnetic stripe;
P4754;Optical media, not recorded;
P47540;Optical media, not recorded;
P4755;Solid-state non-volatile storage devices;
P47550;Solid-state non-volatile storage devices;
P4759;Other recording media, including matrices and masters for the production of disks;
P47590;Other recording media, including matrices and masters for the production of disks;
P476;Audio, video and other disks, tapes and other physical media, recorded;
P4761;Musical audio disks, tapes or other physical media;
P47610;Musical audio disks, tapes or other physical media;
P4762;Films and other video content on disks, tape or other physical media;
P47620;Films and other video content on disks, tape or other physical media;
P4769;Other recorded disks, tapes or other physical media;
P47691;Audio books on disk, tape or other physical media;
P47692;Text-based disks, tapes or other physical media;
P47699;Other non-musical audio disks and tapes;
P478;Packaged software;
P4781;Systems software, packaged;
P47811;Operating systems, packaged;
P47812;Network software, packaged;
P47813;Database management software, packaged;
P47814;Development tools and programming languages software, packaged;
P4782;Application software, packaged;
P47821;General business productivity and home use applications, packaged;
P47822;Computer game software, packaged;
P47829;Other application software, packaged;
P479;Cards with magnetic strips or chip;
P4791;Cards with a magnetic stripe;
P47910;Cards with a magnetic stripe;
P4792;"""Smart cards""";
P47920;"""Smart cards""";
P48;Medical appliances, precision and optical instruments, watches and clocks;
P481;Medical and surgical equipment and orthopaedic appliances;
P4811;Apparatus based on the use of X-rays or of alpha, beta or gamma radiations;
P48110;Apparatus based on the use of X-rays or of alpha, beta or gamma radiations;
P4812;Electro-diagnostic apparatus, and ultra-violet or infra-red ray apparatus, used in medical, surgical, dental or veterinary sciences;
P48121;Electro-diagnostic apparatus, used in medical, surgical, dental or veterinary sciences;
P48122;Ultra-violet or infra-red ray apparatus, used in medical, surgical, dental or veterinary sciences;
P4813;Other instruments and appliances (except syringes, needles and the like), used in dental sciences;
P48130;Other instruments and appliances (except syringes, needles and the like), used in dental sciences;
P4814;Medical, surgical or laboratory sterilizers;
P48140;Medical, surgical or laboratory sterilizers;
P4815;Other instruments and appliances used in medical, surgical or veterinary sciences (including syringes, needles, catheters, cannulae, ophthalmic instruments and appliances n.e.c. and electro-medical apparatus n.e.c.);
P48150;Other instruments and appliances used in medical, surgical or veterinary sciences (including syringes, needles, catheters, cannulae, ophthalmic instruments and appliances n.e.c. and electro-medical apparatus n.e.c.);
P4816;"Mechano-therapy appliances; massage apparatus; psychological aptitude-testing apparatus; ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic respiration apparatus; other breathing appliances and gas masks (excluding protective masks having neither mechanical parts nor replaceable filters)";
P48160;"Mechano-therapy appliances; massage apparatus; psychological aptitude-testing apparatus; ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic respiration apparatus; other breathing appliances and gas masks (excluding protective masks having neither mechanical parts nor replaceable filters)";
P4817;"Orthopaedic appliances; splints and other fracture appliances; artificial parts of the body; hearing aids and other appliances which are worn or carried, or implanted in the body, to compensate for a defect or disability";
P48171;"Orthopaedic appliances; splints and other fracture appliances; artificial parts of the body";
P48172;Hearing aids and other appliances which are worn or carried, or implanted in the body, to compensate for a defect or disability;
P4818;"Medical, surgical, dental or veterinary furniture; barbers' chairs and similar chairs, having rotating as well as both reclining and elevating movements";
P48180;"Medical, surgical, dental or veterinary furniture; barbers' chairs and similar chairs, having rotating as well as both reclining and elevating movements";
P482;"Instruments and appliances for measuring, checking, testing, navigating and other purposes, except optical instruments; industrial process control equipment; parts and accessories thereof";
P4821;Navigational, meteorological, geophysical and similar instruments and appliances;
P48211;"Direction finding compasses; other navigational instruments and appliances";
P48212;Rangefinders, theodolites and tachymeters (tacheometers) and levels;
P48219;Other surveying, hydrographic, oceanographic, hydrological, meteorological or geophysical instruments and appliances;
P4822;Radar apparatus, radio navigational aid apparatus and radio remote control apparatus;
P48220;Radar apparatus, radio navigational aid apparatus and radio remote control apparatus;
P4823;"Precision balances; instruments for drawing, calculating, measuring length, etc.";
P48231;Balances with a sensitivity of 5 cg or better;
P48232;Drafting tables and machines, and other drawing, marking-out or mathematical calculating instruments;
P48233;Instruments for measuring length, for use in the hand (including measuring rods and tapes, micrometers and callipers) n.e.c.;
P4824;"Instruments and apparatus for measuring or checking electrical quantities, except electricity production or supply meters; instruments and apparatus for measuring or detecting ionizing radiations";
P48241;Instruments and apparatus for measuring or detecting ionizing radiations;
P48242;Cathode-ray oscilloscopes and cathode-ray oscillographs;
P48243;Instruments and apparatus (except cathode-ray oscilloscopes and oscillographs) for measuring or checking voltage, current, resistance or power, without a recording device (except electricity production or supply meters);
P48244;Instruments and apparatus (except cathode-ray oscilloscopes and oscillographs) for telecommunications;
P48249;Instruments and apparatus for measuring or checking electrical quantities n.e.c.;
P4825;Hydrometers and similar floating instruments, thermometers, pyrometers, barometers, hygrometers and psychrometers, instruments and apparatus for measuring or checking the flow, level, pressure or other variables of liquids or gases except navigational, hydrological or meteorological instruments and appliances, gas or liquid supply meters, and automatic regulating or controlling instruments and apparatus for physical or chemical analysis, for measuring or checking viscosity, porosity, expansion, surface tension or the like, or for measuring or checking quantities of heat, sound or light;
P48251;Hydrometers and similar floating instruments, thermometers, pyrometers, barometers, hygrometers and psychrometers;
P48252;Instruments and apparatus for measuring or checking the flow, level, pressure or other variables of liquids or gases, except navigational, hydrological or meteorological instruments and appliances, gas or liquid supply meters and automatic regulating or controlling instruments and apparatus;
P48253;Instruments and apparatus for physical or chemical analysis, for measuring or checking viscosity, porosity, expansion, surface tension or the like, or for measuring or checking quantities of heat, sound or light;
P4826;Other measuring, checking and testing instruments and appliances;
P48261;Microscopes (except optical microscopes) and diffraction apparatus;
P48262;Machines and appliances for testing the mechanical properties of materials;
P48263;Gas, liquid or electricity supply or production meters;
P48264;"Revolution counters, production counters, taximeters, mileometers, pedometers and the like; speed indicators and tachometers, except hydrographic and meteorological instruments; stroboscopes";
P48266;Automatic regulating or controlling instruments and apparatus, hydraulic or pneumatic;
P48269;Measuring, checking, regulating or controlling instruments, appliances and machines n.e.c.;
P4828;Parts and accessories for the goods of classes 4821 and 4823 to 4826;
P48281;"Parts and accessories for the goods of subclasses 48211, 48212, 48232 and 48233, 48241 to 48249, 48251 to 48253; microtomes; parts and accessories n.e.c., for optical, photographic, cinematographic, precision, medical or surgical machines, instruments, apparatus and appliances";
P48282;Parts and accessories for the goods of subclass 48261;
P48283;Parts and accessories for the goods of subclasses 48263 and 48264;
P48284;Parts and accessories for the goods of subclasses 48266 and 48269;
P48285;Parts and accessories for the goods of subclass 48262;
P483;Optical instruments and photographic equipment, and parts and accessories thereof;
P4831;Optical instruments;
P48311;"Optical fibres and optical fibre bundles; optical fibre cables (except those made up of individually sheathed fibres); sheets and plates of polarizing material; lenses, prisms, mirrors and other optical elements (except of glass not optically worked), whether or not mounted, other than for cameras, projectors or photographic enlargers or reducers";
P48312;Spectacles, goggles and the like, corrective, protective or other;
P48313;Frames and mountings for spectacles, goggles or the like;
P48314;"Binoculars, monoculars and other optical telescopes; other astronomical instruments, except instruments for radio-astronomy; compound optical microscopes";
P48315;"Liquid crystal devices n.e.c.; lasers, except laser diodes; other optical appliances and instruments n.e.c.";
P4832;Photographic equipment;
P48321;Objective lenses for cameras, projectors or photographic enlargers or reducers;
P48322;Photographic (including cinematographic) cameras;
P48323;Cinematographic projectors;
P48329;Other photographic equipment;
P4834;"Photographic plates and film and instant print film, sensitized, unexposed; chemical products for photographic uses, except varnishes, adhesives and the like";
P48341;Photographic plates and film and instant print film, sensitized, unexposed;
P48342;"Chemical preparations for photographic uses, except varnishes, adhesives and the like; unmixed products for photographic uses, put up in measured portions or put up for retail sale in a form ready for use";
P4835;Parts for the goods of classes 4831 to 4833;
P48351;Parts and accessories for the goods of subclass 48314;
P48352;Parts of goods of subclass 48313;
P48353;"Parts and accessories for the goods of subclass 48322; parts and accessories of cinematographic projectors; parts and accessories of photographic flashlight apparatus; parts and accessories of image projectors (except cinematographic) and photographic (except cinematographic) enlargers and reducers; parts and accessories n.e.c. of apparatus and equipment for photographic laboratories; parts and accessories of negatoscopes and projection screens";
P48354;Parts and accessories for the goods of subclass 48315;
P484;Watches and clocks, and parts thereof;
P4841;Watches;
P48410;Watches;
P4842;Clocks;
P48420;Clocks;
P4843;Time of day recording apparatus, apparatus for measuring, recording or otherwise indicating intervals of time, and time switches, with clock or watch movement or with synchronous motor;
P48430;Time of day recording apparatus, apparatus for measuring, recording or otherwise indicating intervals of time, and time switches, with clock or watch movement or with synchronous motor;
P4844;Watch or clock movements;
P48440;Watch or clock movements;
P4849;Other watch or clock parts (including jewels, cases and metal watch bands);
P48490;Other watch or clock parts (including jewels, cases and metal watch bands);
P49;Transport equipment;
P491;"Motor vehicles, trailers and semi-trailers; parts and accessories thereof";
P4911;Motor vehicles;
P49111;Road tractors for semi-trailers;
P49112;Public-transport type passenger motor vehicles;
P49113;Motor cars and other motor vehicles principally designed for the transport of persons (except public-transport type vehicles, vehicles specially designed for travelling on snow, and golf cars and similar vehicles);
P49114;Motor vehicles n.e.c. for the transport of goods;
P49115;Crane lorries;
P49116;"Motor vehicles, for the transport of persons, specially designed for travelling on snow; golf cars and similar vehicles";
P49119;Special-purpose motor vehicles n.e.c.;
P4912;Parts and accessories n.e.c. of motor vehicles;
P49121;Chassis fitted with engines, for motor vehicles;
P49129;Other parts and accessories n.e.c. of motor vehicles (including brakes, gear boxes, axles, road wheels, suspension shock absorbers, radiators, silencers, exhaust pipes, clutches, steering wheels, steering columns, steering boxes, and parts thereof);
P492;"Bodies (coachwork) for motor vehicles; trailers and semi-trailers; parts and accessories thereof";
P4921;Bodies for motor vehicles;
P49210;Bodies for motor vehicles;
P4922;"Trailers and semi-trailers; containers";
P49221;Containers specially designed and equipped for carriage by one or more modes of transport;
P49222;Trailers and semi-trailers of the caravan type, for housing or camping;
P49229;Other trailers and semi-trailers (including trailers and semi-trailers for the transport of goods), except self-loading or self-unloading trailers or semi-trailers for agricultural purposes;
P4923;Parts for the goods of classes 4921 and 4922;
P49231;Parts and accessories for the goods of subclass 49210;
P49232;"Parts of trailers and semi-trailers; parts of other vehicles, not mechanically propelled";
P493;Ships;
P4931;Commercial ships and warships;
P49311;"Cruise ships, excursion boats and similar vessels, principally designed for the transport of persons; ferry boats of all kinds";
P49312;Tankers (ships);
P49313;Refrigerator vessels (ships), except tankers;
P49314;Other vessels for the transport of goods and other vessels for the transport of both persons and goods;
P49315;"Fishing vessels; factory ships and other vessels for processing or preserving fishery products";
P49316;Tugs and pusher craft;
P49319;Other vessels (including light-vessels, fire-floats, dredgers, floating cranes, floating docks, warships and lifeboats other than rowing boats), except floating or submersible drilling or production platforms;
P4932;Floating or submersible drilling or production platforms;
P49320;Floating or submersible drilling or production platforms;
P4939;Other floating structures;
P49390;Other floating structures;
P494;Pleasure and sporting boats;
P4941;Sailboats (except inflatable), with or without auxiliary motor;
P49410;Sailboats (except inflatable), with or without auxiliary motor;
P4949;"Other vessels for pleasure or sports; rowing boats and canoes";
P49490;"Other vessels for pleasure or sports; rowing boats and canoes";
P495;Railway and tramway locomotives and rolling stock, and parts thereof;
P4951;Rail locomotives and locomotive tenders;
P49511;Rail locomotives powered from an external source of electricity;
P49512;Diesel-electric locomotives;
P49519;"Other rail locomotives; locomotive tenders";
P4952;Self-propelled railway or tramway coaches, vans and trucks (except maintenance or service vehicles);
P49520;Self-propelled railway or tramway coaches, vans and trucks (except maintenance or service vehicles);
P4953;"Other rolling stock; railway or tramway track fixtures and fittings; mechanical traffic control equipment for transport facilities";
P49531;Railway or tramway maintenance or service vehicles, whether or not self-propelled;
P49532;"Railway or tramway passenger coaches, not self-propelled; luggage vans, post office coaches and other special-purpose railway or tramway coaches, not self-propelled (except maintenance or service vehicles)";
P49533;Railway or tramway goods vans and wagons, not self-propelled;
P4954;"Parts of railway or tramway locomotives or rolling stock; railway or tramway track fixtures and fittings, and parts thereof; mechanical (including electromechanical) signalling, safety or traffic control equipment for railways, tramways, roads, inland waterways, parking facilities, port installations or airfields, and parts thereof";
P49540;"Parts of railway or tramway locomotives or rolling stock; railway or tramway track fixtures and fittings, and parts thereof; mechanical (including electromechanical) signalling, safety or traffic control equipment for railways, tramways, roads, inland waterways, parking facilities, port installations or airfields, and parts thereof";
P496;Aircraft and spacecraft, and parts thereof;
P4961;"Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft";
P49610;"Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft";
P4962;Aeroplanes and helicopters;
P49621;Helicopters;
P49622;Aeroplanes and other powered aircraft of an unladen weight not exceeding 2000 kg;
P49623;Aeroplanes and other powered aircraft of an unladen weight exceeding 2000 kg;
P4963;Spacecraft and spacecraft launch vehicles;
P49630;Spacecraft and spacecraft launch vehicles;
P4964;Parts of aircraft and spacecraft;
P49640;Parts of aircraft and spacecraft;
P499;Other transport equipment and parts thereof;
P4991;Motorcycles and side-cars;
P49911;Motorcycles and cycles fitted with an auxiliary motor, with reciprocating internal combustion piston engine of a cylinder capacity not exceeding 50 cc;
P49912;Motorcycles and cycles fitted with an auxiliary motor, with reciprocating internal combustion piston engine of a cylinder capacity exceeding 50 cc;
P49913;"Motorcycles and cycles fitted with an auxiliary motor, other than those with reciprocating internal combustion piston engines; side-cars";
P4992;Bicycles and invalid carriages;
P49921;Bicycles and other cycles, not motorized;
P49922;Invalid carriages;
P4993;Vehicles n.e.c., not mechanically propelled;
P49930;Vehicles n.e.c., not mechanically propelled;
P4994;Parts for the goods of classes 4991 and 4992;
P49941;Parts and accessories of motorcycles and side-cars;
P49942;Parts and accessories of bicycles and other cycles, not motorized, and of invalid carriages;
S5;Constructions and construction services;
S53;Constructions;
S531;Buildings;
S5311;Residential buildings;
S53111;One- and two-dwelling residential buildings;
S53112;Multi-dwelling residential buildings;
S5312;Non-residential buildings;
S53121;Industrial buildings;
S53122;Commercial buildings;
S53129;Other non-residential buildings;
S532;Civil engineering works;
S5321;Highways (except elevated highways), streets, roads, railways and airfield runways;
S53211;Highways (except elevated highways), streets and roads;
S53212;Railways;
S53213;Airfield runways;
S5322;Bridges, elevated highways and tunnels;
S53221;Bridges and elevated highways;
S53222;Tunnels;
S5323;Harbours, waterways, dams, irrigation and other waterworks;
S53231;Aqueducts and other water supply conduits, except pipelines;
S53232;Harbours, waterways and related facilities;
S53233;Dams;
S53234;Irrigation and flood control waterworks;
S5324;Long-distance pipelines, communication and power lines (cables);
S53241;Long-distance pipelines;
S53242;Long-distance communication and power lines (cables);
S5325;Local pipelines and cables and related works;
S53251;Local pipelines;
S53252;Local cables and related works;
S53253;Sewage and water treatment plants;
S5326;Mines and industrial plants;
S53261;Mining constructions;
S53262;Power plants;
S53269;Other constructions for manufacturing;
S5327;Outdoor sport and recreation facilities;
S53270;Outdoor sport and recreation facilities;
S5329;Other civil engineering works;
S53290;Other civil engineering works;
S54;Construction services;
S541;General construction services of buildings;
S5411;General construction services of residential buildings;
S54111;General construction services of one- and two-dwelling residential buildings;
S54112;General construction services of multi-dwelling residential buildings;
S5412;General construction services of non-residential buildings;
S54121;General construction services of industrial buildings;
S54122;General construction services of commercial buildings;
S54129;General construction services of other non-residential buildings;
S542;General construction services of civil engineering works;
S5421;General construction services of highways (except elevated highways), streets, roads, railways and airfield runways;
S54211;General construction services of highways (except elevated highways), streets and roads;
S54212;General construction services of railways;
S54213;General construction services of airfield runways;
S5422;General construction services of bridges, elevated highways and tunnels;
S54221;General construction services of bridges and elevated highways;
S54222;General construction services of tunnels;
S5423;General construction services of harbours, waterways, dams, water mains and lines, irrigation and other waterworks;
S54231;General construction services of aqueducts and other water supply conduits, except pipelines;
S54232;General construction services of harbours and similar waterworks;
S54233;General construction services of dams;
S54234;General construction services of irrigation and flood control waterworks;
S5424;General construction services of long-distance pipelines, communication and power lines (cables);
S54241;General construction services of long-distance pipelines;
S54242;General construction services of long-distance communication and power lines (cables);
S5425;General construction services of local pipelines and cables and related works;
S54251;General construction services of local pipelines;
S54252;General construction services of local cables and related works;
S54253;General construction services of sewage and water treatment plants;
S5426;General construction services of mines and industrial plants;
S54261;General construction services of mines;
S54262;General construction services of power plants;
S54269;General construction services of other industrial plants;
S5427;General construction services of outdoor sport and recreation facilities;
S54270;General construction services of outdoor sport and recreation facilities;
S5429;General construction services of other civil engineering works;
S54290;General construction services of other civil engineering works;
S543;Site preparation services;
S5431;Demolition services;
S54310;Demolition services;
S5432;Site formation and clearance services;
S54320;Site formation and clearance services;
S5433;Excavating and earthmoving services;
S54330;Excavating and earthmoving services;
S5434;Water well drilling and septic system installation services;
S54341;Water well drilling services;
S54342;Septic system installation services;
S544;Assembly and erection of prefabricated constructions;
S5440;Assembly and erection of prefabricated constructions;
S54400;Assembly and erection of prefabricated constructions;
S545;Special trade construction services;
S5451;Pile driving and foundation services;
S54511;Pile driving services;
S54512;Foundation services;
S5452;Construction framing services;
S54521;Building framing services;
S54522;Roof framing services;
S5453;Roofing and waterproofing services;
S54530;Roofing and waterproofing services;
S5454;Concrete services;
S54540;Concrete services;
S5455;Structural steel erection services;
S54550;Structural steel erection services;
S5456;Masonry services;
S54560;Masonry services;
S5457;Scaffolding services;
S54570;Scaffolding services;
S5459;Other special trade construction services;
S54590;Other special trade construction services;
S546;Installation services;
S5461;Electrical installation services;
S54611;Electrical wiring and fitting services;
S54612;Fire alarm installation services;
S54613;Burglar alarm system installation services;
S54614;Residential antenna installation services;
S54619;Other electrical installation services;
S5462;Water plumbing and drain laying services;
S54621;Water plumbing services;
S54622;Drain laying services;
S5463;Heating, ventilation and air-conditioning equipment installation services;
S54631;Heating equipment installation services;
S54632;Ventilation and air-conditioning equipment installation services;
S5464;Gas fitting installation services;
S54640;Gas fitting installation services;
S5465;Insulation services;
S54650;Insulation services;
S5469;Other installation services;
S54691;Lift and escalator installation services;
S54699;Other installation services n.e.c.;
S547;Building completion and finishing services;
S5471;Glazing services;
S54710;Glazing services;
S5472;Plastering services;
S54720;Plastering services;
S5473;Painting services;
S54730;Painting services;
S5474;Floor and wall tiling services;
S54740;Floor and wall tiling services;
S5475;Other floor laying, wall covering and wall papering services;
S54750;Other floor laying, wall covering and wall papering services;
S5476;Joinery and carpentry services;
S54760;Joinery and carpentry services;
S5477;Fencing and railing services;
S54770;Fencing and railing services;
S5479;Other building completion and finishing services;
S54790;Other building completion and finishing services;
S6;"Distributive trade services; accommodation, food and beverage serving services; transport services; and electricity, gas and water distribution services";
S61;Wholesale trade services;
S611;Wholesale trade services, except on a fee or contract basis;
S6111;Wholesale trade services, except on a fee or contract basis, of raw agricultural products and live animals;
S61111;Wholesale trade services, except on a fee or contract basis, of grains and oilseeds and oleaginous fruits, seeds and animal feed;
S61112;Wholesale trade services, except on a fee or contract basis, of flowers and plants;
S61113;Wholesale trade services, except on a fee or contract basis, of unmanufactured tobacco;
S61114;Wholesale trade services, except on a fee or contract basis, of live animals, including pet animals;
S61115;Wholesale trade services, except on a fee or contract basis, of hides, skins and leather;
S61119;Wholesale trade services, except on a fee or contract basis, of agricultural raw materials n.e.c.;
S6112;Wholesale trade services, except on a fee or contract basis, of food, beverages and tobacco;
S61121;Wholesale trade services, except on a fee or contract basis, of fruits and vegetables;
S61122;Wholesale trade services, except on a fee or contract basis, of dairy products, eggs and edible oils and fats;
S61123;Wholesale trade services, except on a fee or contract basis, of meat, poultry and game;
S61124;Wholesale trade services, except on a fee or contract basis, of fish and other seafood;
S61125;Wholesale trade services, except on a fee or contract basis, of sugar confectionery and bakery products;
S61126;Wholesale trade services, except on a fee or contract basis, of beverages;
S61127;Wholesale trade services, except on a fee or contract basis, of coffee, tea and spices;
S61128;Wholesale trade services, except on a fee or contract basis, of tobacco products;
S61129;Wholesale trade services, except on a fee or contract basis, of food products n.e.c.;
S6113;Wholesale trade services, except on a fee or contract basis, of textiles, clothing and footwear;
S61131;Wholesale trade services, except on a fee or contract basis, of yarn and fabrics;
S61132;Wholesale trade services, except on a fee or contract basis, of household linens, curtains, net curtains and diverse household articles of textile materials;
S61133;Wholesale trade services, except on a fee or contract basis, of articles of clothing, articles of fur and clothing accessories;
S61134;Wholesale trade services, except on a fee or contract basis, of footwear;
S6114;Wholesale trade services, except on a fee or contract basis, of household appliances, articles and equipment;
S61141;Wholesale trade services, except on a fee or contract basis, of household furniture;
S61142;Wholesale trade services, except on a fee or contract basis, of radio and television equipment and recorded audio and video disks and tapes;
S61143;Wholesale trade services, except on a fee or contract basis, of articles for lighting;
S61144;Wholesale trade services, except on a fee or contract basis, of household appliances;
S61145;Wholesale trade services, except on a fee or contract basis, of miscellaneous household utensils, cutlery, crockery, glassware, china and pottery;
S61146;Wholesale trade services, except on a fee or contract basis, of wickerwork, cork goods, cooper's ware and other wooden ware;
S6115;Wholesale trade services, except on a fee or contract basis, of miscellaneous consumer goods;
S61151;Wholesale trade services, except on a fee or contract basis, of books, newspapers, magazines and stationery;
S61152;Wholesale trade services, except on a fee or contract basis, of photographic, optical and precision equipment;
S61153;Wholesale trade services, except on a fee or contract basis, of games and toys;
S61154;Wholesale trade services, except on a fee or contract basis, of watches, clocks and jewellery;
S61155;Wholesale trade services, except on a fee or contract basis, of sports goods (incl. bicycles);
S61156;Wholesale trade services, except on a fee or contract basis, of leather goods and travel accessories;
S61159;Wholesale trade services, except on a fee or contract basis, of miscellaneous consumer goods n.e.c.;
S6116;Wholesale trade services, except on a fee or contract basis, of construction materials and hardware;
S61161;Wholesale trade services, except on a fee or contract basis, of construction materials and flat glass;
S61162;Wholesale trade services, except on a fee or contract basis, of fittings, fixtures and ceramic sanitary fixtures;
S61163;Wholesale trade services, except on a fee or contract basis, of wallpaper and floor coverings;
S61164;Wholesale trade services, except on a fee or contract basis, of paints, varnishes and lacquers;
S61165;Wholesale trade services, except on a fee or contract basis, of hardware and hand tools;
S6117;Wholesale trade services, except on a fee or contract basis, of chemical and pharmaceutical products;
S61171;Wholesale trade services, except on a fee or contract basis, of basic industrial chemicals and synthetic resins;
S61172;Wholesale trade services, except on a fee or contract basis, of fertilizers and agrochemical products;
S61173;Wholesale trade services, except on a fee or contract basis, of pharmaceutical products;
S61174;Wholesale trade services, except on a fee or contract basis, of medical and orthopaedic goods;
S61175;Wholesale trade services, except on a fee or contract basis, of perfumery articles, cosmetic articles and toilet soaps;
S61176;Wholesale trade services, except on a fee or contract basis, of cleaning materials;
S6118;Wholesale trade services, except on a fee or contract basis, of machinery, equipment and supplies;
S61181;Wholesale trade services, except on a fee or contract basis, of motor vehicles, motorcycles, snowmobiles and related parts and accessories;
S61182;Wholesale trade services, except on a fee or contract basis, of other transport equipment, except bicycles;
S61183;Wholesale trade services, except on a fee or contract basis, of office machinery and equipment including office furniture;
S61184;Wholesale trade services, except on a fee or contract basis, of computers and packaged software;
S61185;Wholesale trade services, except on a fee or contract basis, of electronic and telecommunications equipment and parts;
S61186;Wholesale trade services, except on a fee or contract basis, of agricultural lawn and garden machinery and equipment, including tractors;
S61187;Wholesale trade services, except on a fee or contract basis, of mining, construction and civil engineering machinery and equipment;
S61188;Wholesale trade services, except on a fee or contract basis, of other industry-specific machinery and equipment and related operating supplies;
S61189;Wholesale trade services, except on a fee or contract basis, of other machinery and equipment n.e.c.;
S6119;Wholesale trade services, except on a fee or contract basis, of other products;
S61191;Wholesale trade services, except on a fee or contract basis, of solid, liquid and gaseous fuels and related products;
S61192;Wholesale trade services, except on a fee or contract basis, of metal ores and metal in primary forms;
S61193;Wholesale trade services, except on a fee or contract basis, of wood in the rough;
S61194;Wholesale trade services, except on a fee or contract basis, of paper and paperboard;
S61195;Wholesale trade services, except on a fee or contract basis, of waste and scrap and materials for recycling;
S61197;Wholesale trade services, except on a fee or contract basis, of electricity;
S61198;Wholesale trade services, except on a fee or contract basis, of water;
S61199;Wholesale trade services, except on a fee or contract basis, of non-metallic minerals and other products n.e.c.;
S612;Wholesale trade services on a fee or contract basis;
S6121;Wholesale trade services on a fee or contract basis, of raw agricultural products and live animals;
S61211;Wholesale trade services on a fee or contract basis, of grains and oilseeds and oleaginous fruits, seeds and animal feed;
S61212;Wholesale trade services on a fee or contract basis, of flowers and plants;
S61213;Wholesale trade services on a fee or contract basis, of unmanufactured tobacco;
S61214;Wholesale trade services on a fee or contract basis, of live animals, including pet animals;
S61215;Wholesale trade services on a fee or contract basis, of hides, skins and leather;
S61219;Wholesale trade services on a fee or contract basis, of agricultural raw materials n.e.c.;
S6122;Wholesale trade services on a fee or contract basis, of food, beverages and tobacco;
S61221;Wholesale trade services on a fee or contract basis, of fruits and vegetables;
S61222;Wholesale trade services on a fee or contract basis, of dairy products, eggs and edible oils and fats;
S61223;Wholesale trade services on a fee or contract basis, of meat, poultry and game;
S61224;Wholesale trade services on a fee or contract basis, of fish and other seafood;
S61225;Wholesale trade services on a fee or contract basis, of sugar confectionery and bakery products;
S61226;Wholesale trade services on a fee or contract basis, of beverages;
S61227;Wholesale trade services on a fee or contract basis, of coffee, tea and spices;
S61228;Wholesale trade services on a fee or contract basis, of tobacco products;
S61229;Wholesale trade services on a fee or contract basis, of food products n.e.c.;
S6123;Wholesale trade services on a fee or contract basis, of textiles, clothing and footwear;
S61231;Wholesale trade services on a fee or contract basis, of yarn and fabrics;
S61232;Wholesale trade services on a fee or contract basis, of household linens, curtains, net curtains and diverse household articles;
S61233;Wholesale trade services on a fee or contract basis, of articles of clothing, articles of fur and clothing accessories;
S61234;Wholesale trade services on a fee or contract basis, of footwear;
S6124;Wholesale trade services on a fee or contract basis, of household appliances, articles and equipment;
S61241;Wholesale trade services on a fee or contract basis, of household furniture;
S61242;Wholesale trade services on a fee or contract basis, of radio and television equipment and recorded audio and video disks and tapes;
S61243;Wholesale trade services on a fee or contract basis, of articles for lighting;
